LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID6969 → ID8859,100,6969,8859,0.19039144369286753,0.021788274245236224,0.1607491630253912,1.2859933042031295,812.0,313.90347140375434,46.51275435958218,0.0,
ID6715 → ID7043,100,6715,7043,0.30485044364839126,0.030137990473930776,0.2355730926105834,1.8845847408846672,796.0,316.93998490357535,46.44246962220083,0.0,
ID8619 → ID7817,100,8619,7817,0.5005331279045969,0.03996506159057577,0.1677914057421672,1.3423312459373375,868.0,308.25945486357625,46.3694608790682,0.0,
ID8300 → ID7315,100,8300,7315,0.22639664603394538,0.04032947251599334,0.06721302279538195,0.5377041823630556,836.0,311.0468721925665,46.4250357340587,0.0,
ID7991 → ID7464,100,7991,7464,12.760642079094604,0.17931422443405395,0.5171613468341136,4.137290774672909,1044.0,261.2205544993606,53.29162586815705,0.0,
ID8918 → ID8300,100,8918,8300,0.30296275909422715,0.008884280559334427,0.09240097893607353,0.7392078314885883,828.0,311.6723299407879,46.50361317481527,0.0,
ID9116 → ID8062,100,9116,8062,0.075150021007998,0.012859032057151765,0.1841214473642397,1.4729715789139175,780.0,320.15236900921457,46.36709702039475,0.0,
ID4560 → ID3132,100,4560,3132,0.059536088906059055,0.0020524644057756643,0.24525258020629315,1.9620206416503452,476.0,370.6283906856355,47.414949330477,0.0,
ID7315 → ID6914,100,7315,6914,0.05554932004669858,0.05648496637471491,0.06531244675099337,0.522499574007947,844.0,310.53230035063007,46.378948438879476,0.0,
ID6197 → ID6206,100,6197,6206,0.011490908036602923,0.009748234549249231,0.13838752356596698,1.1071001885277358,668.0,342.1664704697331,46.306036613689585,0.0,
